FOLIO_PERSONAL,DOCUMENTO,CUIL,APELLIDO,NOMBRE,DOMICILIO,INHIBIENTE,MONTO,CARATULA,JUZGADO,FECHA,ENTRO,ALCANCE,OBSERVACIONES,VIGENCIA
10004/16,18650176,NULL,GOMEZ,MARTINA,"DIAG. 8 3819","FISCO DE LA PROVINCIA",NULL,NULL,NULL,2025-07-06,NULL,PARCIAL,NULL,ACTIVO
10024/7,50418899,24-97448906-3,MU├æOZ,SALVADOR,"AV. MERLO 2939","BANCO NACI├ôN",NULL,"COBRO DE PESOS - CORREA JUANA",NULL,2024-03-31,NULL,NULL,,NULL
10067/3,48463542,22-43665443-9,ACOSTA,MARTIN,"BOULEVARD NEUQU├ëN 1617","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - MIRANDA MATIAS","JUZGADO N┬░ 23",2016-03-15,NULL,NULL,NULL,ACTIVO
1009/25,34059484,23-87451163-0,VALDEZ,AMBAR,"DIAGONAL G├£EMES 4413","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - SUAREZ ELENA",NULL,2018-10-31,NULL,PARCIAL,NULL,NULL
10114/3,72864193,22-25625944-0,ORTIZ,SANTIAGO,"AVENIDA SAN MARTIN 1391","FISCO DE LA PROVINCIA",2090,"EJECUCI├ôN FISCAL - TORRES ABRIL",NULL,2017-04-20,NULL,PARCIAL,NULL,ACTIVO
10172/4,44220455,25-72982079-8,RODRIGUEZ,JUSTINA,"CALLE SANTIAGO DEL ESTERO 2035","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - RODRIGUEZ JUAN IGNACIO",NULL,2022-10-04,NULL,TOTAL,,CADUCADO
1023/17,96896692,27-97155511-1,PEREZ,"ANA PAULA","BLV. 3 1865","BANCO NACI├ôN",519518,NULL,"JUZGADO N┬░ 29",2023-08-22,NULL,NULL,NULL,NULL
10248/12,91199089,27-96936503-3,VILLALBA,VALENTINA,"AV. JUJUY 1145",AFIP,793210,"CONCURSO PREVENTIVO - ALVAREZ SANTIAGO NICOLAS",NULL,2025-01-19,NULL,NULL,NULL,NULL
10282/3,21957995,27-11061875-3,FERNANDEZ,AGOSTINA,NULL,NULL,605101,"COBRO DE PESOS - SOSA BAUTISTA",NULL,2019-11-19,NULL,NULL,"SIN OBSERVACIONES",NULL
10372/4,86326371,21-92623730-8,SUAREZ,SOFIA,"AVENIDA 3 1468",AFIP,678026,"COBRO DE PESOS - RODRIGUEZ LUCIANA","JUZGADO N┬░ 11",2023-07-20,NULL,TOTAL,NULL,CADUCADO
1040/4,64011443,24-15568978-6,RUIZ,VALENTINA,"DIAGONAL 3 4481","BANCO NACI├ôN",402509,"EJECUCI├ôN FISCAL - FLORES AGUSTIN",NULL,2019-05-25,NULL,PARCIAL,NULL,ACTIVO
10422/20,70274056,NULL,LOPEZ,"DYLAN EZEQUIEL","BOULEVARD OMAR NU├æEZ 3362","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - CORONEL MAXIMO","JUZGADO N┬░ 29",2024-11-18,2024-08-04,NULL,NULL,NULL
10465/18,23561291,20-86991839-1,MARTINEZ,CANDELARIA,"AVENIDA BUENOS AIRES 236","BANCO NACI├ôN",NULL,"CONCURSO PREVENTIVO - MARTINEZ CLARA","JUZGADO N┬░ 26",2021-04-25,NULL,NULL,,ACTIVO
10523/6,75700792,23-15436806-0,CASTRO,"   ","AVENIDA 6 1119","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",722326,"CONCURSO PREVENTIVO - GONZALEZ AGUST├ìN","JUZGADO N┬░ 8",NULL,2020-08-29,NULL,NULL,NULL
10561/20,23976337,22-50954478-7,RUIZ,CATALINA,"BLV. 8 2369",AFIP,714236,"CONCURSO PREVENTIVO - LOPEZ NAHUEL",NULL,2025-07-23,NULL,NULL,NULL,NULL
10587/10,50837655,22-21527046-7,GOMEZ,MARTINA,"AV. BUENOS AIRES 2836",NULL,497143,"CONCURSO PREVENTIVO - SILVA ANTONIO","JUZGADO N┬░ 21",2016-04-25,2025-06-20,NULL,NULL,NULL
10611/22,32026420,22-37755700-0,MORALES,LOURDES,"CAMINO 175 B 4580",NULL,846530,"EJECUCI├ôN FISCAL - CASTILLO THIAGO EZEQUIEL",NULL,2023-12-20,2022-02-22,NULL,NULL,CADUCADO
10613/13,13460449,26-59070208-6,MU├æOZ,VALENTINO,NULL,"BANCO NACI├ôN",664232,"COBRO DE PESOS - GOMEZ CATALINA","JUZGADO N┬░ 13",2024-01-28,NULL,NULL,NULL,NULL
